,title,fecha,copete,volanta,cuerpo,autor
0,Las historias detrás de las tomas en Guernica ,2020-09-01,"Más de 2500 familias sobreviven en un descampado de Guernica. Es una de las tomas que surgieron en el último tiempo en la provincia, con la crisis que agudizó la pandemia. ","""Necesitamos un pedacito de tierra""","Arrinconados en carpas de tela y casitas de chapa y nylon, expuestos a temperaturas heladas y a un virus que no para de sumar casos en el territorio bonaerense, más de 2500 familias sobreviven en un descampado de Guernica. Hace un mes y medio, empujados por la crisis habitacional, estas familias decidieron ocupar un predio abandonado de 100 hectáreas en el Partido de Presidente Perón, al sur del conurbano, con el objetivo de construir un barrio donde vivir. La toma de tierras en la provincia continúa así su ritmo, consolidándose como solución ante la profundización de la crisis social y económica durante la pandemia, y dividiendo, a su vez, a la clase política entre quienes piden desalojos y quienes sostienen priorizar las necesidades sociales subyacentes.""La mayoría son parejas jóvenes que estaban viviendo en la casa de los padres, o familias que pagaban alquiler y un día ya no pudieron hacerlo más. Empezó a correr la voz de que se había tomado un terreno cerca y fueron metiéndose, siempre con la esperanza de conseguir un pedazo de tierra propio"", explica Nidia Báez a Página/12. Militante de Barrios de Pie, Báez va tres veces a la semana al predio a llevar comida, abrigo y dar una mano para organizar las ollas populares, única fuente de alimento de muchas de las personas que ocupan el terreno ubicado en los barrios Numancia y San Martín.  Las tomas comenzaron el 20 de julio --fecha que terminó dando nombre a uno de los cuatro barrios que se fueron conformando en el predio-- y desde entonces ha generado conflictos con la policía, los propietarios y algunos vecinos de la zona.Ana Rolón es una de las miles de mujeres que tomó un pedazo de tierra en Guernica. Llegó al predio hace un mes junto a su marido y sus tres hijos, luego de que los echasen de la casa que alquilaban porque su pareja se quedó sin trabajo en el contexto de la cuarentena. ""Necesitamos un pedacito de tierra para hacer crecer a nuestros hijos de manera digna. Para no estar en la vereda de la calle, con los hijos cartoneando, muriéndonos de frío con temperaturas de bajo cero, con la enfermedad. Nos echaron del alquiler y nos arrinconamos donde encontramos un lugar"", contó Ana en diálogo con Radio Con Vos, y aseguró que su historia es la del 80 por ciento de las personas que se encuentran con ella en aquel predio de 100 hectáreas. ""No sabría qué hacer si me llegan a sacar de acá, terminaré en la vereda con la misma carpa y mis hijos. Esperemos que el gobierno pueda reanalizar nuestra situación"", pide, entre lágrimas.""Se nota que realmente hay una necesidad enorme y que la están remando como pueden. Es muy tremendo ver cómo aguantan el frío y la lluvia, hay muchas familias que viven en carpa porque no les alcanza para pagar una chapa para cubrirse. Algunos están viendo de pagar con la asignación social algunos de los materiales"", describe, por su parte, Nidia. Chapa, tela, nylon, cartón, alambre y madera: esos son los materiales que resguardan a las cientos de familias, muchas con niños pequeños, de los fríos bajo cero y las lluvias. Son trabajadores que se quedaron sin changa, como el marido de Ana, peones, albañiles, desocupados cuya vulnerabilidad se profundizó durante la pandemia, y reclaman al Estado provincial y municipal que les otorguen una vivienda digna. Nidia cuenta que varios de ellos utilizan las asignaciones sociales para protegerse mejor del frío. Las mismas que varios funcionarios ya están analizando cortar como castigo contra aquellos que ocupen tierras.  ""Es muy probable que evaluemos la posibilidad de que aquel que realice una toma de tierras se le caigan todos los beneficios que le da el Estado, como la Asignación Universal por Hijo o el Ingreso Familiar de Emergencia, porque si no es 'hago lo que quiero'"", sostuvo el presidente de la Cámara de Diputados, Sergio Massa. Se refería a los casos de toma de tierras en Villa Mascardi, pero mientras él hacía esas declaraciones, el diputado bonaerense de Juntos Por el Cambio, Alex Campbell, presentaba efectivamente un proyecto para que las personas que usurpasen tierras en la provincia de Buenos Aires perdiesen los beneficios sociales que reciben del Estado provincial. A estas propuestas se sumaron las críticas de varios intendentes de Juntos Por el Cambio, que le reclaman al gobernador Axel Kicillof que interviniese más activamente. ""La necesidad de algunos no puede generar el caos en todos. El problema de la toma de tierras, lejos de desaparecer, hoy se agrava frente al silencio y la inacción"", lanzó el intendente de Vicente López, Jorge Macri.Los pedidos de desalojo no son exclusivos de los intendentes, el ministro de Seguridad, Sergio Berni, también se manifestó a su favor. ""El que toma tierras en la provincia de Buenos Aires irá preso"", aseguró en declaraciones radiales. Como ya es costumbre en materia de Seguridad, la ministra nacional Sabina Frederic se diferenció y opinó que la toma de tierras ""no es un tema de Seguridad"", sino ""de déficit habitacional"". En una línea similar, Kicillof, sostuvo ayer durante una conferencia de prensa que detrás de la toma de terrenos ""hay una necesidad"" y que el gobierno debía dar una respuesta desde el Estado ""con programas y planes"", diferenciándose de los reclamos de los intendentes. Informe: María Cafferata.",
1,Carrió dijo que el Gobierno hizo un golpe de Estado al Congreso,2020-09-01,"Señaló que el presidente de la Cámara de Diputado, Sergio Massa, promovió un ""golpe institucional""  y que se merece una denuncia por traición a la Patria.",Otra cortina de humo de la exdiputada,"Elisa Carrió abandonó el supuesto retiro de la política argentina para denunciar que este martes hubo “un golpe institucional al Congreso de la Nación” y lanzar una catarata de descalificaciones y denuncias al mejor estilo Bolsonaro. La exdiputada nacional calificó a Alberto Fernández de “charlatán”, a Cristina Kirchner de “violenta”, acusó a Sergio Massa de ""golpista"" y a La Cámpora y amigos del Papa Francisco de ""mandar a personas a ocupar terrenos"" en la Provincia de Buenos Aires.Sin esperar a ser consultada, la líder de la Coalición Cívica llamó personalmente al canal de noticias TN para denunciar que Argentina está en un “Estado de sitio de hecho”. Es que luego de que el oficialismo llegase a un acuerdo en el Congreso -salvo con Juntos por el Cambio- para extender las sesiones remotas durante 30 días, Carrió aseguró que se está ""suprimiendo un Poder del Estado"" y que “todo acto de fuerza, fuera del Derecho, es un golpe de Estado”. Omitió, por caso, referise al funcionamiento de la Legislatura porteña, del cual el macrismo decidió debatir proyectos ajenos a la pandemia.En ese sentido señaló al presidente de la Cámara de Diputados, Sergio Massa, como el principal responsable. Lo calificó de “oportunista” y “golpista”, e indicó a través de su cuenta de Twitter que “se merece una denuncia penal por Traición a la Patria, art. 29 y 36 de la Constitución Nacional”.En términos de ubicación política, Carrió se posicionó cercana a Horacio Rodríguez Larreta y expresó que lo está ""acompañando para que tenga diálogo con el Gobierno"". Sin embargo, afirmó que Alberto Fernández es un ""charlatán"" que destrata al jefe de Gobierno porteño y que Cristina Kirchner es ""violenta"". ""Hay momentos de decir no. Hay momentos de resistencia pacifica. Nosotros frente a la violencia llamamos a la no violencia"", señaló. La cofundadora de la Alianza Cambiemos dedicó gran parte de la entrevista a demostrar que tiene intenciones de ponerse el traje de candidata en las próximas elecciones legislativas y que apunta a provincia de Buenos Aires. ”Kicillof no conoce la provincia de Buenos Aires”, afirmó, y agregó: “Yo recorrí las villas, caminé el territorio durante 20 años. Los más afectados son los pobres del conurbano, gente decente, que quiere trabajar, que no es violenta y no sabés cómo contener a sus hijos para que no caigan en las drogas”.Además, trató al ministro de seguridad de la provincia de Buenos Aires, Sergio Berni, de ""caradura"" al asegurar que ""se pasea en moto, habla muy bien, pero no hace nada. Y la gente está encarcelada en sus casas mientras los delincuentes están libres en sus casas"".  En relación a las tomas de terrenos que se vienen dando en el conurbano bonaerense, Carrió denunció que están impulsadas por ""La Cámpora, grupos de izquierda y vinculados a amigos del Papa"".",
2,Respaldo para la política sanitaria,2020-09-01,,Encuesta de la Celag sobre cuarentena y situación económica,"Por más que las medidas de aislamiento y distanciamiento social establecidas por el Gobierno por la pandemia ya se acerquen a los seis meses de duración, siguen manteniendo un mayoritario respaldo de la población pese a las protestas que se fogonean desde la oposición y la prédica de algunos medios. Por otro lado, el presidente Alberto Fernández mantiene una imagen positiva muy alta, del 68,6 por ciento, y una negativa de apenas el 28,1 por ciento. Además, el Frente de Todos se mantiene como la fuerza de mayor intención de voto.Los datos surgen de una encuesta realizada la Celag, el centro de opinión que encabeza Alfredo Serrano Mancilla, en base a 2.004 casos durante las últimas tres semanas de agosto. Respecto al manejo de la pandemia, hay una valoración positiva del Gobierno que alcanza el 74,3 por ciento, repartida entre quienes la consideran muy buena (20,1), buena (35,6) y regular bien (18,6). En tanto, la gestión en materia económica también es favorable pero con números más ajustados. En este caso, las valoraciones positivas alcanzan el 52,7 por ciento y las negativas llegan al 45,3 por ciento. Rspecto a este último punto, se les preguntó a los encuestados qué dificultades económicas había sufrido durante estos meses. Un 40,4 por ciento reconoció problemas para pagar el alquiler, expensas o impuestos mientras que el 39 por ciento contó que ellos o alguien conocido había perdido el empleo. Por otro lado, un mayoritario 59,7 por ciento admitió que se había sentido afectado piscológica o anímicamente durante estos meses de cuarentena. Pese a estas dificultades, un muy preponderante 65,5 por ciento evaluó que la prioridad debía estar puesta en evitar que colapse el sistema sanitario y apenas un 27,2 por ciento respondió que se debía priorizar a la economía.En el sondeo aparecen muy bien posicionados los científicos y epidemiólogos como actores sociales con casi el 90 por ciento de respuestas positivas mientras que los medios de comunicación siguen con su credibilidad en picada: el 81,3 por ciento cree que manipulan la información que publican. Por último, pese a lo lejano del escenario electoral, el trabajo termina con una pregunta sobre intención de voto en el que el Frente de Todos obtuvo el 37,7 por ciento de las respuestas contra el 23,9 por ciento de Juntos por el Cambio, ampliando la diferencia obtenida en octubre pasado.",
3,Lesa Humanidad: El juicio que busca terminar con 45 años de impunidad en Bahía Blanca,2020-09-01,Los asesinatos se cometieron en 1975. Hay sólo cuatro acusados que siguen las audiencias desde sus casas por videoconferencia y que deben responder por 24 asesinatos.,Proceso a los  crímenes cometidos por la Triple A en el sur bonaerense,"El 2 de julio de 1975 en pleno centro de Bahía Blanca una patota de civiles armados secuestró a Víctor Oliva Troncoso, un militante chileno exiliado tras el golpe de Augusto Pinochet. Su cuerpo acribillado con 33 balazos y rodeado por ejemplares de El Combatiente apareció horas después en el paraje “El Pibe de Oro”, en las afueras de la ciudad. Sobre su historia y sobre la persecución contra los refugiados chilenos en el sur bonaerense declaró el pastor Aníbal Sicardi, de la Iglesia Evangélica Metodista, en el juicio oral a exmiembros de la Triple A local, responsable de 24 homicidios al amparo del Estado según la acusación del Ministerio Público Fiscal. Las audiencias, que pueden seguirse por el canal de la Universidad Nacional el Sur (UNS) continuarán con la declaraciones del sociólogo Fortunato Mallimaci, que hasta su obligado exilio estudiaba y militaba en Bahía Blanca, y de un familiar de Fernando Alduvino, militante de la Juventud de Trabajadores Peronistas (JTP) asesinado un año antes del golpe de Estado.El proceso se desarrolla en el aula magna de la UNS, en el mismo edificio donde el grupo paramilitar supo sembrar el terror de los estudiantes. Por los 45 años de demora y la muerte impune de los miembros más notorios, en el banquillo hay sólo cuatro acusados, que siguen las audiencias desde sus casas por videoconferencia. Roberto Aceituno, con arresto domiciliario, es el único acusado por un homicidio: el de David Cilleruelo, asesinado en un pasillo de la UNS el 3 de abril de 1975 por los matones que el interventor Remus Tetu contrató como empleados de “seguridad y vigilancia”. Los otros acusados de integrar la asociación ilícita, todos excarcelados, son Héctor Angel Forcelli, Osvaldo Pallero y Juan Carlos Curzio. En la etapa de instrucción está imputado también el excamarista y exagente de inteligencia Néstor Luis Montezanti, indagado hace más de dos años. La resolución de su situación procesal del exmagistrado, que según el diario La Nación cobra una jubilación de 628.510 pesos, está en manos del juez federal Walter López Da Silva.Sicardi relató el trabajo de contención de la colectividad chilena que los metodistas hacían junto con el Alto Comisionado de Naciones Unidas para los Refugiados (ACNUR). Oliva Troncoso, que había militado en el Movimiento de Izquierda Revolucionario (MIR) y estudiaba filosofía en la UNS, fue secuestrado a plena luz del día e introducido en una camioneta blanca, a metros de “un patrullero que cortaba el tráfico”, según una testigo. Horas después supo del ingreso de una persona asesinada al Hospital Municipal, se presentó pero le costó reconocerlo por lo que pidió que lo viera el pastor Guido Bello, quien confirmó la identidad. Sicardi recordó también el terror generado aquel año por un editorial del diario La Nueva Provincia sobre la presencia de profesores chilenos “subversivos” a los que el diario sindicaba de “infiltrados en la UNS”.Luego declaró Cayetano Ursino, extrabajador de YPF y militante del SUPE, quien conoció a miembros de la Triple A. Al declarar en 2007 había nombrado a Forcelli entre los responsables de la muerte de Carlos Davit, un militante de la JUP acribillado y colgado de un puente que hoy lleva su nombre. Cuando el fiscal Pablo Fermento le preguntó si ratificaba sus dichos el testigo pidió garantías y contó que un año después de aquella declaración le incendiaron su casa. La ratificó tras la advertencia de que declaraba bajo juramento y que podía ser imputado por falso testimonio.Tres testigos declararon sobre los asesinatos de José Surace, Julio García y Gabriel Ganuza, militantes de la JUP y estudiantes de geología secuestrados la madrugada del 6 de diciembre de 1975 de un pensionado en calle Zapiola. Rodolfo García recordó que esa noche iban a juntarse a estudiar pero él finalmente no fue. Se explayó sobre el clima de efervescencia de aquellos años, la militancia en el centro de estudiantes de geología y el terror que sembraron los matones en los pasillos de la UNS. Gladys Elvira, exnovia de Surace, recordó por videoconferencia desde Viedma que esa tarde “escuchamos por radio que había explotado una bomba” y “José contó ‘esta noche hay redada seguro”. Cerca de la medianoche la acompañó a su departamento y horas después fueron los secuestros. Atilio Casadei, compañero de pensión y testigo directo, contó que preguntaron los nombres de los cuatro y a él decidieron no llevarlo; que los molieron a golpes y robaron varios relojes. El último testigo fue el maestro y dirigente sindical Orlando “Nano” Balbo, por entonces no docente en la Universidad del Comahue, en Neuquén, donde conoció y padeció a la patota de Tetu, también interventor de esa casa de estudios.",
4,Juicio por la obra pública: Dos testigos debilitaron la acusación,2020-09-01,"En el juicio por supuestas irregularidades en la obra púiblica en Santa Cruz durante los gobiernos kirchneristas, dos testigos convocados por los fiscales terminaron favoreciendo a las defensas de Báez, CFK y otros ex funcionarios acusados.",Testimonios propuestos por la fiscalía terminaron favoreciendo a las defensas,"Nuevamente, los testigos de la fiscalía, los que venían a apuntalar la acusación, terminaron siendo testigos favorables a las defensas, como ya viene ocurriendo. En una nueva jornada del juicio por la obra pública de Santa Cruz, declaró primero Héctor Carlos Costilla, ex titular de Kank y Costilla, constructora que compró Lázaro Báez en 2006. La hipótesis de la fiscalía es que esas compras fueron violentas, producto de presiones y extorsiones, pero Costilla contó que en la empresa familiar murieron un hermano y un primo que eran claves y que eso los llevó a vender: ""No teníamos ganas de seguir con la empresa. Alcanzaba para pagar sueldos y hasta ahí nomás. No hubo ninguna presión"". La venta se hizo en seis millones de dólares, con balances, inventarios y toda la documentación. Según contó, terminaron de cobrar en 2009 o 2010. En segundo lugar declaró una ex empleada de la empresa Seguridad Patagónica, Silvina González, a quien le exhibieron un contrato con Austral Construcciones, la constructora madre de Báez. La mujer dijo que ella firmaba decenas de documentos y contratos porque era la empleada administrativa y que ese contrato, que no recordaba, era apenas uno más de los tantos que firmó.  Los testigos convocados por la fiscalía deberían aportar elementos a la idea de que Báez patoteó a sus competidores y que de esa manera se quedó con la mayor parte de las obras viales de Santa Cruz. En ese marco, las defensas se quejan de la agresividad del fiscal Diego Luciani, lo que derivó en un pedido de intervención de los veedores del Colegio de Abogados. Los veedores están presentes en todas las audiencias y por primera vez este martes pidieron al tribunal una copia de la grabación para estudiarla. El convocado por la fiscalía fue Héctor Costilla hijo, que fuera titular de la empresa en el momento en que se vendió. Ante los magistrados dijo todo lo contrario de lo que esperaba la fiscalía: la venta fue por pedido de las dos familias herederas de los fundadores, actuó como nexo ""uno de los dueños de la empresa Gotti, que fue amigo de mi padre de toda la vida y él fue el que nos hizo el contacto. Fue una operación transparente, sin presiones de ninguna índole"", afirmó el testigo. Costilla detalló que la constructora se vendió en forma documentada por seis millones de pesos, con balances, estado de la maquinaria y toda los papeles contables. ""Nos pagaron con cheques que terminamos cobrando entre 2009 y 2010"", redondeó. El testimonio bajo juramento desechó la existencia de lo que se conoce como una compra hostil. En segundo lugar, desde Santiago del Estero declaró la ex empleada de Seguridad Patagónica Silvina González, que es santiagueña pero había ido a probar fortuna al sur. La mujer contó que la emplearon en distintos comercios y finalmente fue contratada por José Antonio Chan, un ex policía, abogado, que junto con otro ex policía, Alejandro González, montó una empresa que daba custodia a supermercados y obras. En Seguridad Patagónica la mujer estuvo a cargo de la parte administrativa y en algún momento, como le debían dinero de los sueldos, le canjearon la deuda por acciones. La fiscalía exhibió un contrato firmado por Martín Báez y Silvina González y deslizó que encerraba algún tipo de alianza non sancta. La testigo dijo que la firma era suya, que seguramente era uno de los tantos contratos que firmó, pero que no lo recordaba por esa razón. El detalle, cuestionado por las defensas, es que el papel exhibido en la audiencia fue supuestamente sustraído de la Inspección General de Justicia, por lo tanto no correspondía que se use como evidencia. El uso del documento no calmó la ansiedad de la fiscalía que ve pasar las audiencias sin que sus testigos le rindan. Al menos hasta ahora, los testigos le sirvieron más a los defensores, aunque, como se sabe, en el territorio de Comodoro Py la coalición judicial-política-mediática alineada con Cambiemos juega siempre de local. Más todavía cuando una de las acusadas, como en este caso, es la vicepresidenta Cristina Fernández de Kirchner. ",Raúl Kollmann
5,El ramal Tigre del ferrocarril Mitre sigue sin prestar servicios,2020-09-01,,Es por la toma de terrenos en el área de los talleres de Victoria,"El ramal Tigre y Victoria-Capilla de la línea Mitre continúa sin servicios por la toma de terrenos, en reclamo de viviendas, en la la playa de maniobras de los talleres del ferrocarril en la localidad de Victoria, partido de San Fernando. El gremio de La Fraternidad tomó la medida gremial de paralizar el servicio aduciendo que existían peligro de arrollamientos de personas y hechos de inseguridad, mientras que desde Trenes Argentinos y el municipio de San Fernando solicitan el desalojo.  El pedido de desalojo está en el juzgado de la jueza federal Sandra Arroyo Salgado, quien aún no ha ordenado el cumplimiento de la medida. Mientras tanto, el Ministerio de Transporte mantiene un refuerzo de micros para asegurar el traslado de los usuarios que se ven afectados por la suspensión del servicio.  La empresa Trenes Argentinos informó también que, a la espera del cumplimiento de la orden de desalojo, se están buscando ""medidas alternativas"" para despejar las vías que permiten el acceso a los talleres de mantenimiento de los vagones.""Se está trabajando en encausar alguna solución para que los trenes de obra pueden pasar por el lugar"", señalaron desde la empresa estatal. Por su parte, el intendente de San Fernando, Juan Andreotti, reiteró este lunes su pedido de desalojo sin mediar ninguna instancia de diálogo para solucionar el problema habitacional de las 20 familias que ocupan el predio. ""Nos preocupa que sigan pasando los días y que quienes deben actuar no lo hagan con la urgencia que se requiere. A la vez, es incomprensible y hasta mezquino que se tenga en vilo al barrio, a los trabajadores del ferrocarril y a toda la comunidad"", consideró el jefe comunal ante medios locales. La problemática del déficit habitacional y la toma de terrenos despertó diferencias entre los referentes del FdT, que mostraron posiciones punitivas o un abordaje social que apunte a solucionar el problema de fondo.En tanto, mientras se mantenga el corte del servicio, el Ministerio de Transporte continuará implementando un sistema de refuerzo de micros a disposición de los pasajeros, que operan a la mañana, de 6 a 11, y por la tarde entre las 16 y las 20.",
6,Nueva red de agua potable en Esteban Echeverría,2020-09-01,,"Malena Galmarini, Gabriel Katopodis junto al intendente Fernando Gray","El intendente de Esteban Echeverría, Fernando Gray, junto a la titular de Agua y Saneamientos Argentinos (AySA), Malena Galmarini, y al ministro de Obras Públicas de la Nación, Gabriel Katopodis, habilitaron una nueva red de agua y recorrieron la obra cloacal primaria que beneficiará a más de 90 mil vecinos del distrito.“Estamos en El Jagüel haciendo obras muy importantes para nuestro distrito, que ahora retomamos con el presidente, a través del impulso de Malena Galmarini, Gabriel Katopodis y sus equipos”, afirmó Gray, al poner en marcha la red secundaria construida mediante el programa Agua + Trabajo, que beneficia a 2.100 vecinos del barrio Don Mariano, en El Jagüel. ""Hemos impulsado la obra pública con perspectiva de género, las mujeres podemos ser parte de la realización de las obras, por eso empezamos incorporando a las cooperativas de Agua + Trabajo, un 50 por ciento de mujeres”, remarcó Malena Galmarini.A su turno, el ministro Katopodis destacó que “ Gray tiene una agenda muy intensa de trabajo, cuidando mucho la salud de los trabajadores, pero entendiendo que con obras se va a salir adelante”. Por otra parte, agregó que “no se va a perder tiempo para poner en marcha la economía y que el Estado llegue a cada rincón de la Argentina, siguiendo el paso de los intendentes que son quienes más conocen el territorio”.",
7,Kicillof lanzó su plan de reactivación,2020-09-01,,Demandará una inversión de casi 300 mil millones de pesos ,"El gobernador bonaerense, Axel Kicillof, presentó un plan integral de reactivación económica para la pospandemia que contempla medidas para el desarrollo productivo y fomento de la demanda, beneficios crediticios e impositivos, asistencia para el sostenimiento y la generación de empleo y la reactivación de la obra pública. ""Mientras lidiamos con el coronavirus, ponemos a disposición de los empresarios y trabajadores una serie de instrumentos y medidas para que la recuperación sea mas rápida y contundente cuando finalice la pandemia”, dijo el gobernador.El plan fue anunciado por el gobernador en el Salón Dorado de la gobernación en La Plata. Consideró que se trata de un “plan para la transición” y aseguró que “en este contexto de crisis económica debido a la pandemia de coronavirus ""se lanzaron medidas para que no perdiéramos vidas ni empresas: fue una etapa de resistencia del tejido productivo"". Explicó que el Plan del Reactivación Productiva para la Pospandemia que representará una inversión de casi 300 mil millones de pesos en base a cuatro ejes principales: desarrollo productivo y fomento a la demanda, obra pública e infraestructura, asistencia crediticia para el desarrollo y sostenimiento y generación de empleo. “El mundo pospandemia va a hacer una transición y éste es un plan para eso: ha habido alguna incipiente reactivación pero no hay manuales. Lo que vemos es que la economía empieza en algunas ramas a tener actividad en la pandemia y desde el estado tenemos que elaborar herramientas”, graficó. El primer eje -desarrollo productivo y fomento a la demanda- significará una inversión de más de 130 mil millones de pesos con ítems que van desde reducción de alícuotas para pymes en problemas, regularización impositiva en 60 cuotas para más de un millón de contribuyentes, impulso a los sectores productivos y congelamiento de las tarifas de energía.",
8,Espionaje ilegal: Fracasó la maniobra de los acusados para apartar a la fiscal ,2020-09-01,Las defensas de las ex autoridades de la AFI macrista intentaron separar de la causa por espionaje ilegal a la fiscal Cecilia Incardona por supuesta “falta de objetividad y lealtad procesal”. La propia Incardona rebatió los argumentos y el juez resolvió respaldarla de inmediato.,El juez Juan Pablo Augé respaldó la actuación de Cecilia Incardona,"En la pulseada que sostiene la vieja cúpula de la Agencia Federal de Inteligencia (AFI) para debilitar la causa por espionaje ilegal, este martes se anotó un punto importante la fiscal de Lomas de Zamora Cecilia Incardona ya que el juez Juan Pablo Augé rechazó la recusación con que intentaron desplazarla de la investigación. En la audiencia que se hizo por Zoom, una de las sorpresas fue que hasta las defensas de tres ex espías --Jorge “Turco” Sáez, Leandro Araque y Facundo Melo-- se presentaron para defender la continuidad de la fiscal en el caso. También lo hizo el abogado de la querella de Cristina Fernández de Kirchner, Alberto Beraldi. El argumento central del pedido de apartamiento es que la fiscal avaló un requerimiento de la AFI para usar un software llamado Earthwatch para captar imágenes satelitales ante supuestas alertas de seguridad, entre 2017 y 2018, y como se mencionaba a políticos debía suponer que era para hacer operaciones ilegales. Por eso, el principal reproche fue la supuesta “falta de objetividad y lealtad procesal”. La propia Incardona dio sus argumentos en una audiencia de dos horas y el juez Augé resolvió respaldarla de inmediato.Incardona tiene delegada la investigación sobre espionaje ilegal junto al fiscal Santiago Eyherabide. En el tramo en el que analizaron las actividades de inteligencia ilegal contra el Instituto Patria y la vicepresidenta Cristina Fernández de Kirchner, impulsaron el procesamiento del ex titular de la AFI, Gustavo Arribas, a Silvia Majdalani, ex número dos, al ex jefe de Operaciones de la Agencia Alan Ruiz y al ex jefe de Contrainteligencia Martín Coste. Este viernes comienzan las indagatorias por más de una veintena de acciones de espionaje ilegal contra políticos oficialistas y opositores, periodistas, representantes eclesiásticos, organizaciones sociales, entre otras víctimas. Por eso, los principales imputados insisten en intentar sacar de la cancha a la fiscalía y en lo posible mandar la causa a los tribunales de Comdoro Py. La recusación había sido presentada por la defensa de Arribas y su segunda, y luego adhirió la defensa de Darío Nieto, secretario privado de Mauricio Macri, también citado como sospechoso. Se centraron en dos cuestiones. La primera alude a que cuando tramitaba una causa impulsada por la propia AFI en el juzgado de Federico Villena, relacionada con supuestas amenazas a la seguridad durante la organización de la cumbre del G-20, la de la Organización Mundial de Comercio y los Juegos Olímpicos de la Juventud, Incardona tuvo una intervención y por lo tanto perdió objetividad. En aquel expediente, la AFI le pedía a Villena distintas medidas de control, como por ejemplo el acceso a las cámaras de toda la Ciudad de Buenos Aires, a las del aeropuerto de Ezeiza y a la línea 911. También pidió utilizar el programa Earthwatch, desde el 22 de octubre de 2018 y hasta 2019. Al parecer su uso coincidió con el calendario electoral del año pasado, aunque la actual interventora de la AFI, Cristina Caamaño, no pudo determinar para qué se usó. Antes de dar autorización para esta herramienta,  el juez Villena le corrió vista a la fiscal Incardona. Después aparecería en el expediente del G-20 una supuesta explicación que hablaba de amenazas a la seguridad de Mauricio Macri, María Eugenia Vidal, Waldo Wolff y Cristina Kirchner, entre otros. Ya es sabido que a CFK nadie le notificó que estuviera en peligro. Pero incluso Incardona y Eyherabide consideran que esa justificación fue falsa, fue inventada para cubrir espionaje ilegal. La defensa de la ex cúpula de la AFI sostuvo que, si con esos datos a la fiscal todo le pareció legal, por qué ahora le parece ilegal. Son argumentos incompatibles, está a la vista. La recusación siguió el mismo razonamiento al decir que cuando se cerró la causa del G-20 porque Villena no encontró nada raro, Incardona debió saber que ya a esa altura estaban denunciadlas autoridades de la AFI por el espionaje al Instituto Patria ante el juez federal Marcelo Martínez de Giorgi, causa donde fueron sobreseídas, precisamente en base a documentos que ella considera falsos. Y que si fue apartado el juez Villena --como ocurrió tiempo atrás, porque él mismo había avalado varias actividades de inteligencia dudosas incluso en la cárcel de Ezeiza-- ella también debería serlo. Ella explicó ante la cámara que las reglas de imparcialidad para jueces y juezas no equivalen al deber de objetividad de fiscales y fiscalas, que son parte en el proceso. Además de que ella no estaba notificada de nada de la causa de Martínez de Giorgi. Incardona también sostuvo, según pudo reconstruir PáginaI12, que el temor de falta de objetividad no existe en la ley, es un invento de las defensas para apartarla. “Esto es un artilugio procesal más”, señaló, y reclamó que los imputados se defiendan en la causa con pruebas. “Lo que hacen es dilatar el proceso y sacar a quienes les molestan”, enfatizó. El punto central es que la hipótesis de la fiscalía es precisamente que la causa “del G-20”, como se la llama, fue un artilugio para espiar ilegalmente y que las menciones a políticos se introdujeron con posterioridad para justificarlas, porque había salido a la luz el espionaje en el Instituto Patria. Las defensas pidieron que si se rechazaba la recusación, el juez reasumiera la investigación. El abogado de CFK, Beraldi, el de Sáez, Alfredo Oliván, y el de Melo y Araque, Fernando Sicilia, argumentaron que la fiscalía debía continuar. El juez Augé resolvió en el momento: dijo que no había manera de comprobar que la fiscal hubiera podido advertir que los informes eran falsos y que había espionaje ilegal, que es lo que se investiga ahora. Tampoco, añadió, se puede comparar su actuación con la de Villena. 
Las defensas de las ex autoridades de la AFI dijeron que apelarán, aunque las normas no lo prevén para recusaciones. La otra batalla que se viene es con Comodoro Py, ya que la jueza María Eugenia Capuccheti ya reclamó la causa completa sobre el espionaje a la actual vicepresidenta, y al menos la fiscalía no está dispuesta a mandársela. ",Irina Hauser
9,Un pequeño grupo de militantes opositores quiso entrar al Congreso por la fuerza,2020-09-01,,Disturbios y rotura de vidrios mientras Diputados debatía si se realizaba la sesión,"Un grupo de aproximadamente 50 manifestantes opositores intentaron ingresar por la fuerza a la Cámara de Diputados para impedir la sesión y generaron disturbios con el personal de seguridad.Todo empezó cuando asistentes de seguridad corrieron una valla dispuesta para el ingreso de los diputados nacionales e intentó colarse por allí un grupo de manifestantes para acceder al edificio, pero chocaron con la resistencia del personal de seguridad.La mayoría de quienes concurrieron se concentró sobre la Avenida Rivadavia con banderas argentinas, algunos con cacerolas y carteles con leyendas en contra del Gobierno nacional y el proyecto de reforma judicial. El momento de mayor tensión fue cuando ingresaba al Congreso el diputado de la Coalición Cívica Héctor ""Toty"" Flores. Alrededor suyo se agolpó un grupo de personas que a los empujones forcejeó con los empleados de seguridad para ingresar por la fuerza.Uno de los agresores aprovechó el tumulto para golpear su cacerola contra la puerta de hierro por donde ingresan los legisladores, haciendo estallar uno de los vidrios.El incidente se produjo mientras se realizaba un cuarto intermedio de la comisión de Labor Parlamentario en el marco de tensas negociaciones entre el oficialismo y la oposición sobre la modalidad de la sesión.Desde el comienzo, Juntos por el Cambio exigió que el tratamiento sea presencial y de hecho fueron al Congreso 94 de los 116 representantes de la oposición para ocupar sus bancas.",
